word,frequency
i,76373
went,1539
and,158435
saw,3152
this,74215
movie,41703
last,2738
night,1915
after,7237
being,6470
coaxed,4
to,131731
by,21777
a,158577
few,3864
friends,1847
of,143056
mine,301
ill,1082
admit,572
that,66740
was,47215
reluctant,61
see,11311
it,75800
because,8611
from,19896
what,15078
knew,926
ashton,38
kutcher,42
he,25296
only,11249
able,1338
do,8869
comedy,3082
wrong,1667
played,2549
the,329124
character,6406
jake,101
fischer,11
very,13600
well,9419
kevin,360
costner,56
ben,328
randall,28
with,42975
such,4824
professionalism,26
sign,226
good,14014
is,103306
can,10785
toy,127
our,2500
emotions,429
one,25516
did,6213
exactly,965
entire,1396
theater,720
which,11175
sold,146
out,16379
overcome,125
laughter,209
during,2168
first,8297
half,1797
were,10932
moved,324
tears,286
second,1751
while,4979
exiting,23
not,29679
many,6729
women,1614
in,91833
but,40027
full,1645
grown,194
men,1776
as,44569
trying,2406
desperately,158
let,1682
anyone,2642
them,7692
crying,192
great,8925
suggest,359
you,30064
go,4638
before,4103
judge,337
actor,2056
turned,902
director,3666
bill,561
paxton,49
follows,521
up,12022
his,28030
promising,197
debut,227
gothichorror,2
frailty,12
family,2517
friendly,123
sports,189
drama,1271
about,16646
1913,17
us,3740
open,689
where,6149
young,3335
american,2138
caddy,17
rises,58
humble,67
background,609
play,2202
against,1308
bristish,1
idol,62
dubbed,215
greatest,757
game,1364
ever,5819
im,4656
no,12125
fan,1964
golf,110
these,5283
scrappy,8
underdog,68
flicks,364
are,28853
dime,22
dozen,163
most,8532
recently,554
done,2923
grand,272
effect,628
miracle,61
cinderella,26
man,5080
some,15315
how,8649
film,36998
enthralling,29
all,22093
samebr,27
br,56651
starts,1075
creative,343
opening,992
credits,633
imagine,748
disneyfied,2
version,1910
animated,352
hbos,18
carnivale,3
rome,82
lumbers,7
along,1946
slowly,392
for,42762
its,23963
bythenumbers,18
hour,1028
once,2213
action,2858
moves,486
things,3579
pick,475
does,5611
nice,1812
job,2126
shows,2451
knack,30
effective,438
directorial,115
flourishes,15
loved,1480
rainsoaked,3
montage,100
on,33158
day,2260
two,6376
propel,21
plot,6090
further,494
or,17349
add,849
unexpected,228
psychological,243
depth,465
proceedings,100
theres,3043
compelling,333
development,544
when,13791
british,808
harry,337
vardon,23
haunted,170
images,533
aristocrats,10
black,1992
suits,154
top,1537
hats,79
who,19810
destroyed,198
cottage,28
child,974
make,7576
way,7315
course,2335
also,8743
visually,210
depicting,92
goes,2296
players,266
heads,286
under,1217
pressure,84
painfully,182
boring,1756
sport,106
brought,723
vividly,35
alive,519
here,4834
credit,507
should,4639
be,26106
given,1704
set,2151
designers,26
costume,180
department,209
creating,275
an,21335
engaging,256
periodpiece,2
atmosphere,648
london,380
boston,53
at,23139
beginning,1350
twentieth,32
centurybr,15
know,6229
going,4018
end,5176
based,1372
true,2116
story,10636
films,7558
genre,1061
follow,625
same,3998
template,18
over,5132
puts,412
better,5497
than,9332
average,651
show,6062
perhaps,1580
indicates,33
more,13601
talent,966
behind,1091
camera,1630
had,10737
front,602
despite,1313
formulaic,86
nature,573
easy,756
root,111
deserves,565
find,4073
audience,2013
recreational,6
golfer,7
knowledge,281
history,1186
pleased,108
disneys,54
sensitivity,45
issues,458
class,689
early,1480
century,494
depicted,205
battles,113
fought,101
within,767
himself,1949
childhood,289
trauma,50
evicted,4
own,3188
inability,74
break,506
glass,155
ceiling,50
prevents,30
him,8385
accepted,177
equal,138
english,964
society,627
likewise,79
ouimet,17
through,4623
struggles,151
mere,158
caddie,2
eyes,1131
upper,104
crust,14
americans,332
scoff,7
attempts,565
rise,216
above,801
standing,217
best,6061
however,3353
theme,748
manifested,9
characters,7386
ouimets,7
parents,811
father,1538
workingclass,16
drone,13
sees,518
value,493
hard,2336
work,3902
intimidated,6
mother,1478
recognizes,22
her,16108
sons,160
desire,217
encourages,35
pursue,52
dream,497
competing,43
those,4672
think,6986
inferiorbr,1
finally,1454
scenes,5114
photographed,115
although,2429
used,1944
actual,693
site,236
historical,430
tournament,22
little,5941
liberties,52
taken,1035
disney,435
detract,49
beauty,638
moment,1008
pool,120
table,226
otherwise,635
viewer,1071
really,11285
ending,2277
creation,170
human,1554
could,7442
have,27387
written,1372
sneak,69
preview,112
delightful,191
cinematography,929
unusually,47
acting,6180
fabulous,134
if,16979
wont,1336
doesnt,4310
deserve,307
didnt,4447
realize,578
charming,364
shia,19
lebouf,2
marvelous,128
selfcontained,12
lead,1351
something,4913
incredibly,622
sweet,456
makes,4102
even,12069
other,8930
actors,4395
contains,385
moments,1576
high,1914
suspense,787
might,2845
expect,1160
movies,7665
stands,402
id,1281
recommend,1732
has,16184
made,7425
much,9363
extraordinary,219
deals,264
directly,189
tensions,35
touches,175
upon,921
profound,135
anticatholic,3
prejudices,29
both,3361
establishments,6
heart,1065
perennial,15
favourite,296
triumph,72
oddsbr,2
exemplary,16
throughout,1271
stephen,256
dillane,8
excellent,1987
usual,867
revelation,132
laboeuf,2
delivers,342
disciplined,7
dignified,19
highly,1098
sympathetic,226
performance,2605
working,748
francoirish,1
kid,1075
fighting,544
new,3732
england,224
wasp,13
establishment,40
familiar,521
slapstick,240
performances,1632
stevens,99
demonstration,25
maturity,32
surprise,694
josh,98
flitter,9
ten,820
year,1660
old,3729
threatens,68
steal,243
every,3976
scene,5358
appearsbr,4
fashioned,73
sense,2167
word,900
fine,1192
clear,798
directing,550
grips,32
,22069
final,1343
affectionate,19
nod,70
casablanca,30
just,17237
pleasures,51
fill,232
september,44
1st,119
2005,152
indianapolis,3
am,2942
judges,69
heartland,7
