,Model
1,100
2,190E
3,240
4,300E
5,323
6,535i
7,626
8,850
9,90
10,900
11,Accord
12,Achieva
13,Aerostar
14,Altima
15,Astro
16,Bonneville
17,Camaro
18,Camry
19,Capri
20,Caprice
21,Caravan
22,Cavalier
23,Celica
24,Century
25,Civic
26,Colt
27,Concorde
28,Continental
29,Corrado
30,Corsica
31,Corvette
32,Cougar
33,Crown_Victoria
34,Cutlass_Ciera
35,DeVille
36,Diamante
37,Dynasty
38,ES300
39,Eighty-Eight
40,Elantra
41,Escort
42,Eurovan
43,Excel
44,Festiva
45,Firebird
46,Fox
47,Grand_Prix
48,Imperial
49,Integra
50,Justy
51,Laser
52,LeBaron
53,LeMans
54,LeSabre
55,Legacy
56,Legend
57,Loyale
58,Lumina
59,Lumina_APV
60,MPV
61,Maxima
62,Metro
63,Mirage
64,Mustang
65,Passat
66,Prelude
67,Previa
68,Probe
69,Protege
70,Q45
71,Quest
72,RX-7
73,Riviera
74,Roadmaster
75,SC300
76,SL
77,Scoupe
78,Sentra
79,Seville
80,Shadow
81,Silhouette
82,Sonata
83,Spirit
84,Stealth
85,Storm
86,Summit
87,Sunbird
88,Swift
89,Taurus
90,Tempo
91,Tercel
92,Town_Car
93,Vision
